Capítulo (Nro);Capítulo (Nombre);Grupo de Enfermedad;Código 1ª Jerarquía;Categoría 1ª Jerarquía;Código 2ª Jerarquía;Categoría 2ª Jerarquía;Observaciones
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A00;Cólera;A00.0;Cólera debido a Vibrio cholerae O1, biotipo cholerae;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A00;Cólera;A00.1;Cólera debido a Vibrio cholerae O1, biotipo El Tor;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A00;Cólera;A00.9;Cólera, no especificado;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A01;Fiebres tifoidea y paratifoidea;A01.0;Fiebre tifoidea;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A01;Fiebres tifoidea y paratifoidea;A01.1;Fiebre paratifoidea;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A01;Fiebres tifoidea y paratifoidea;A01.2;Fiebre paratifoidea B;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A01;Fiebres tifoidea y paratifoidea;A01.3;Fiebre paratifoidea C;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A01;Fiebres tifoidea y paratifoidea;A01.4;Fiebre paratifoidea, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A02;Otras infecciones debidas a Salmonella;A02.0;Enteritis debida a Salmonella;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A02;Otras infecciones debidas a Salmonella;A02.1;Sepsis debida a Salmonella;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A02;Otras infecciones debidas a Salmonella;A02.2;Infecciones localizadas debidas a Salmonella;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A02;Otras infecciones debidas a Salmonella;A02.8;Otras infecciones especificadas como debidas a Salmonella;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A02;Otras infecciones debidas a Salmonella;A02.9;Infección debida a Salmonella, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A03;Shigelosis;A03.0;Shigelosis debida a Shigella dysenteriae;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A03;Shigelosis;A03.1;Shigelosis debida a Shigella flexneri;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A03;Shigelosis;A03.2;Shigelosis debida a Shigella boydii;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A03;Shigelosis;A03.3;Shigelosis debida a Shigella sonnei;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A03;Shigelosis;A03.8;Otras shigelosis;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.0;Infección debida a Escherichia coli enteropatógena;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.1;Infección debida a Escherichia coli enterotoxígena;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.2;Infección debida a Escherichia coli enteroinvasiva;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.3;Infección debida a Escherichia coli enterohemorrágica;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.4;Otras infecciones intestinales debidas a Escherichia coli;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.5;Enteritis debida a Campylobacter;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.6;Enteritis debida a Yersinia enterocolitica;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.7;Enterocolitis debida a Clostridium difficile;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.8;Otras infecciones intestinales bacterianas especificadas;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.9;Infección intestinal bacteriana, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A05.0;Intoxicación alimentaria estafilocócica;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A05.1;Botulismo;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A05.2;Intoxicación alimentaria debida a Clostridium perfringens;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A05.3;Intoxicación alimentaria debida a Vibrio parahaemolyticus;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A05.4;Intoxicación alimentaria debida a Bacillus cereus;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A05.8;Otras intoxicaciones alimentarias debidas a bacterias;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A05.9;Intoxicación alimentaria bacteriana, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A06;Amebiasis;A06.0;Disentería amebiana aguda;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A06;Amebiasis;A06.1;Amebiasis intestinal crónica;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A06;Amebiasis;A06.2;Colitis amebiana no disentérica;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A06;Amebiasis;A06.3;Ameboma intestinal;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A06;Amebiasis;A06.4;Absceso amebiano del hígado (K77.0*);"Daga (†): código de causa principal; debe usarse junto con un código asterisco (*)"
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A06;Amebiasis;A06.5;Absceso amebiano del pulmón (J99.8*);"Daga (†): código de causa principal; debe usarse junto con un código asterisco (*)"
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A06;Amebiasis;A06.6;Absceso amebiano del cerebro (G07*);"Daga (†): código de causa principal; debe usarse junto con un código asterisco (*)"
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A06;Amebiasis;A06.7;Amebiasis cutánea;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A06;Amebiasis;A06.8;Infección amebiana de otras localizaciones;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A06;Amebiasis;A06.9;Amebiasis, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A07;|Otras enfermedades intestinales debidas a;A07.0;Balantidiasis;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A07;|Otras enfermedades intestinales debidas a;A07.1;Giardiasis [lambliasis];
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A07;|Otras enfermedades intestinales debidas a;A07.2;Criptosporidiosis;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A07;|Otras enfermedades intestinales debidas a;A07.3;Isosporiasis;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A07;|Otras enfermedades intestinales debidas a;A07.8;Otras enfermedades intestinales especificadas debidas a;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A07;|Otras enfermedades intestinales debidas a;A07.9;Enfermedad intestinal debida a protozoarios, no;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A08;|;A08.0;Enteritis debida a rotavirus;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A08;|;A08.1;Gastroenteropatía aguda debida al agente de Norwalk;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A08;|;A08.2;Enteritis debida a adenovirus;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A08;|;A08.3;Otras enteritis virales;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A08;|;A08.4;Infección intestinal viral, sin otra especificación;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A08;|;A08.5;Otras infecciones intestinales especificadas;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A09;Otras gastroenteritis y colitis de origen infeccioso;A09.0;Otras gastroenteritis y colitis de origen infeccioso;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A09;Otras gastroenteritis y colitis de origen infeccioso;A09.9;Gastroenteritis y colitis de origen no especificado;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A15;Tuberculosis respiratoria, confirmada;A15.0;Tuberculosis del pulmón, confirmada por hallazgo;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A15;Tuberculosis respiratoria, confirmada;A15.1;Tuberculosis del pulmón, confirmada solo por cultivo;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A15;Tuberculosis respiratoria, confirmada;A15.2;Tuberculosis del pulmón, confirmada histológicamente;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A15;Tuberculosis respiratoria, confirmada;A15.3;Tuberculosis del pulmón, confirmada por medios no;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A15;Tuberculosis respiratoria, confirmada;A15.4;Tuberculosis de ganglios linfáticos intratorácicos,;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A15;Tuberculosis respiratoria, confirmada;A15.5;Tuberculosis de laringe, tráquea y bronquios, confirmada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A15;Tuberculosis respiratoria, confirmada;A15.6;Pleuresía tuberculosa, confirmada bacteriológica e;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A15;Tuberculosis respiratoria, confirmada;A15.7;Tuberculosis respiratoria primaria, confirmada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A15;Tuberculosis respiratoria, confirmada;A15.8;Otras tuberculosis respiratorias, confirmadas bacteriológica;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A15;Tuberculosis respiratoria, confirmada;A15.9;Tuberculosis respiratoria no especificada, confirmada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A15;Tuberculosis respiratoria, confirmada;A16.0;Tuberculosis del pulmón, con examen bacteriológico e;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A15;Tuberculosis respiratoria, confirmada;A16.1;Tuberculosis del pulmón, sin examen bacteriológico e;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A15;Tuberculosis respiratoria, confirmada;A16.2;Tuberculosis del pulmón, sin mención de confirmación;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A15;Tuberculosis respiratoria, confirmada;A16.3;Tuberculosis de ganglios linfáticos intratorácicos, sin;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A15;Tuberculosis respiratoria, confirmada;A16.4;Tuberculosis de laringe, tráquea y bronquios, sin mención;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A15;Tuberculosis respiratoria, confirmada;A16.5;Pleuresía tuberculosa, sin mención de confirmación;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A15;Tuberculosis respiratoria, confirmada;A16.7;Tuberculosis respiratoria primaria, sin mención de;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A15;Tuberculosis respiratoria, confirmada;A16.8;Otras tuberculosis respiratorias, sin mención de;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A15;Tuberculosis respiratoria, confirmada;A16.9;Tuberculosis respiratoria no especificada, sin mención de;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A17;Tuberculosis del sistema nervioso;A17.0;Meningitis tuberculosa (G01*);"Daga (†): código de causa principal; debe usarse junto con un código asterisco (*)"
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A17;Tuberculosis del sistema nervioso;A17.1;Tuberculoma meníngeo (G07*);"Daga (†): código de causa principal; debe usarse junto con un código asterisco (*)"
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A17;Tuberculosis del sistema nervioso;A17.8;Otras tuberculosis del sistema nervioso;"Daga (†): código de causa principal; debe usarse junto con un código asterisco (*)"
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A17;Tuberculosis del sistema nervioso;A17.9;Tuberculosis del sistema nervioso, no especificada (G99.8*);"Daga (†): código de causa principal; debe usarse junto con un código asterisco (*)"
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A18;Tuberculosis de otros órganos;A18.0;Tuberculosis de huesos y articulaciones;"Daga (†): código de causa principal; debe usarse junto con un código asterisco (*)"
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A18;Tuberculosis de otros órganos;A18.1;Tuberculosis del aparato genitourinario;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A18;Tuberculosis de otros órganos;A18.2;Linfadenopatía periférica tuberculosa;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A18;Tuberculosis de otros órganos;A18.3;Tuberculosis de los intestinos, el peritoneo y los ganglios;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A18;Tuberculosis de otros órganos;A18.4;Tuberculosis de la piel y el tejido subcutáneo;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A18;Tuberculosis de otros órganos;A18.5;Tuberculosis del ojo;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A18;Tuberculosis de otros órganos;A18.6;Tuberculosis del oído;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A18;Tuberculosis de otros órganos;A18.7;Tuberculosis de glándulas suprarrenales (E35.1*);"Daga (†): código de causa principal; debe usarse junto con un código asterisco (*)"
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A18;Tuberculosis de otros órganos;A18.8;Tuberculosis de otros órganos especificados;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A19;Tuberculosis miliar;A19.0;Tuberculosis miliar aguda de un solo sitio especificado;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A19;Tuberculosis miliar;A19.1;Tuberculosis miliar aguda de sitios múltiples;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A19;Tuberculosis miliar;A19.2;Tuberculosis miliar aguda, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A19;Tuberculosis miliar;A19.8;Otras tuberculosis miliares;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Tuberculosis;A19;Tuberculosis miliar;A19.9;Tuberculosis miliar, sin otra especificación;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A20;Peste;A20.0;Peste bubónica;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A20;Peste;A20.1;Peste celulocutánea;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A20;Peste;A20.2;Peste neumónica;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A20;Peste;A20.3;Meningitis por peste;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A20;Peste;A20.7;Peste séptica;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A20;Peste;A20.8;Otras formas de peste;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A20;Peste;A20.9;Peste, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A21;Tularemia;A21.0;Tularemia ulceroglandular;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A21;Tularemia;A21.1;Tularemia oculoglandular;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A21;Tularemia;A21.2;Tularemia pulmonar;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A21;Tularemia;A21.3;Tularemia gastrointestinal;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A21;Tularemia;A21.7;Tularemia generalizada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A21;Tularemia;A21.8;Otras formas de tularemia;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A21;Tularemia;A21.9;Tularemia, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A22;Carbunco [ántrax];A22.0;Carbunco cutáneo;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A22;Carbunco [ántrax];A22.1;Carbunco pulmonar;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A22;Carbunco [ántrax];A22.2;Carbunco gastrointestinal;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A22;Carbunco [ántrax];A22.7;Carbunco séptico;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A22;Carbunco [ántrax];A22.8;Otras formas de carbunco;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A22;Carbunco [ántrax];A22.9;Carbunco, no especificado;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A23;Brucelosis;A23.0;Brucelosis debida a Brucella melitensis;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A23;Brucelosis;A23.1;Brucelosis debida a Brucella abortus;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A23;Brucelosis;A23.2;Brucelosis debida a Brucella suis;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A23;Brucelosis;A23.3;Brucelosis debida a Brucella canis;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A23;Brucelosis;A23.8;Otras brucelosis;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A23;Brucelosis;A23.9;Brucelosis, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A24;Muermo y melioidosis;A24.0;Muermo;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A24;Muermo y melioidosis;A24.1;Melioiidosis aguda y fulminante;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A24;Muermo y melioidosis;A24.2;Melioidosis subaguda y crónica;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A24;Muermo y melioidosis;A24.3;Otras melioidosis;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A24;Muermo y melioidosis;A24.4;Melioidosis, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A25;Fiebres por mordedura de rata;A25.0;Espirilosis;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A25;Fiebres por mordedura de rata;A25.1;Estreptobacilosis;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A25;Fiebres por mordedura de rata;A25.9;Fiebre por mordedura de rata, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A26;Erisipeloide;A26.0;Erisipeloide cutáneo;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A26;Erisipeloide;A26.7;Sepsis por Erysipelothrix;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A26;Erisipeloide;A26.8;Otras formas de erisipeloide;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A26;Erisipeloide;A26.9;Erisipeloide, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A27;Leptospirosis;A27.0;Leptospirosis icterohemorrágica;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A27;Leptospirosis;A27.8;Otras formas de leptospirosis;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A27;Leptospirosis;A27.9;Leptospirosis, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A27;Leptospirosis;A28.0;Pasteurelosis;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A27;Leptospirosis;A28.1;Enfermedad por rasguño de gato;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A27;Leptospirosis;A28.2;Yersiniosis extraintestinal;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A27;Leptospirosis;A28.8;Otras enfermedades zoonóticas bacterianas especificadas,;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Ciertas zoonosis bacterianas;A27;Leptospirosis;A28.9;Enfermedad zoonótica bacteriana, sin otra especificación;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A30;Lepra [enfermedad de Hansen];A30.0;Lepra indeterminada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A30;Lepra [enfermedad de Hansen];A30.1;Lepra tuberculoide;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A30;Lepra [enfermedad de Hansen];A30.2;Lepra tuberculoide limítrofe;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A30;Lepra [enfermedad de Hansen];A30.3;Lepra limítrofe;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A30;Lepra [enfermedad de Hansen];A30.4;Lepra lepromatosa limítrofe;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A30;Lepra [enfermedad de Hansen];A30.5;Lepra lepromatosa;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A30;Lepra [enfermedad de Hansen];A30.8;Otras formas de lepra;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A30;Lepra [enfermedad de Hansen];A30.9;Lepra, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A31;Infecciones debidas a otras micobacterias;A31.0;Infecciones por micobacterias pulmonares;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A31;Infecciones debidas a otras micobacterias;A31.1;Infección cutánea por micobacterias;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A31;Infecciones debidas a otras micobacterias;A31.8;Otras infecciones por micobacterias;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A31;Infecciones debidas a otras micobacterias;A31.9;Infección por micobacteria, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A32;Listeriosis;A32.0;Listeriosis cutánea;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A32;Listeriosis;A32.1;Meningitis y meningoencefalitis listeriana;"Daga (†): código de causa principal; debe usarse junto con un código asterisco (*)"
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A32;Listeriosis;A32.7;Sepsis listeriana;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A32;Listeriosis;A32.8;Otras formas de listeriosis;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A32;Listeriosis;A32.9;Listeriosis, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A36;Difteria;A36.0;Difteria faríngea;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A36;Difteria;A36.1;Difteria nasofaríngea;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A36;Difteria;A36.2;Difteria laríngea;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A36;Difteria;A36.3;Difteria cutánea;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A36;Difteria;A36.8;Otras difterias;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A36;Difteria;A36.9;Difteria, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A37;Tos ferina [tos convulsiva];A37.0;Tos ferina debida a Bordetella pertussis;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A37;Tos ferina [tos convulsiva];A37.1;Tos ferina debida a Bordetella parapertussis;
